John,1,1,"Anglal te oven kerde savorre bukǎ, sas o Lav, haj o Lav sas le Devleça, haj o Lav sas o Del."
John,1,2,Kadava sas le Devleça anglal kaj savorre bukǎ te oven kerde.
John,1,3,Savorre bukǎ sas kerde maśkar Lesθe haj nijekh buki kaj sas kerdi na sas kerdi bi Lesqo.
John,1,4,"Ande Lesθe sas o ʒivipen, haj o ʒivipen sas e le manuśenqi."
John,1,5,E dud dudǎrel and‑o haj o tunǎriko na mudardǎs la.
John,1,6,Sas jekh manuś bićhaldo le Devlesθar. Lesqo anav sas Joan.
John,1,7,"Vov avilǎs te phenel o ćaćipen pala e , haj kaj savorre te pakǎn maśkar lesθe."
John,1,8,Na vov sas e dud tha' vov avilǎs te phenel o ćaćipen pala e dud.
John,1,9,"Kadaja dud sas e ćaći dud, savi avindoj and‑e lumǎ, dudǎrel orsave manuśes."
John,1,10,"O Lav sas and‑e lumǎ haj e lumǎ sas kerdi Lesθar, tha' e lumǎ na prinʒardǎs Les."
John,1,11,"Avilo ke Pesqo them, tha' Pesqe manuśa na kamle Les."
John,1,12,"Tha', savorrenqe kaj kamle Les, kodolenqe kaj pakǎn ande Lesθe, dinǎs len e zor te oven ol ćhave le Devlesqe,"
John,1,13,"kerde na andar ratesθe, nići andar o kamipen le manuśenqo, nići ke kamlǎs jekh manuś, tha' kerde le Devlesθar."
John,1,14,"Haj o Lav kerdilo trupo haj beślǎs maśkar amenθe, haj ame dikhlǎm Lesqi slava, e slava le korkorre Ćhavesqi, avilo le Dadesθar, pherdo haro haj ćaćipen."
John,1,15,"O Joan phendǎs so ʒanglǎs pala Lesθe haj phendǎs zorales: — Vov si Kodova anda savesθe phendem: „Kodova kaj avel pala manθe si maj baro manθar, sosqe sas anglal manθar.”"
John,1,16,"Ame savorre lilǎm andar Lesqo pherdipen, ⌞le Devlesqo⌟ haro pala ⌞Lesqo⌟ haro,"
John,1,17,"ke o sasas dino maśkar o Mojse, tha' o haro haj o ćaćipen avile maśkar o Isus Hristos."
John,1,18,"Le Devles khonik na dikhlǎs Les nijekhvar. O korkorro Del, Kodova kaj si k‑o kolin le Dadesqo, Vov kerdǎs Les prinʒardo. Sosqe avilǎs o Joan"
John,1,19,Dikh so phendǎs o Joan kana ol bare le andar o Jerusalim bićhalde lesθe niśte raśajen haj levicen te pućhen les: — Kon san tu?
John,1,20,"Vov phendǎs o ćaćipen kadja sar sas, phenindoj vorta: — Me ći sem o Hristos!"
John,1,21,Von pućhle les: — Atunći kon san? San o Ilias? Vov phendǎs: — Ći sem! — San o Prooroko? Haj vov phendǎs: — Na!
John,1,22,Thaj pućhle les: — Atunći kon san? Kaj te phenas kodolenqe kaj bićhalde amen. So phenes pala tuθe?
John,1,23,Vov phendǎs: — Me sem „o glaso kodolesqo kaj ćigardel and‑o mulano than: «Vortǎren o drom le Rajesqo!»” kadja sar phendǎs o prooroko o Isaja.
John,1,24,Kodola sas bićhalde katar ol farisea.
John,1,25,"Von pućhle les: — Atunći, kana tu na san nići o Hristos, nići o Ilias, nići o Prooroko, sosqe boles?"
John,1,26,"O Joan phendǎs lenqe: — Me bolav and‑o pani, tha' maśkar tumenθe beśel jekh kaj tume na prinʒaren Les."
John,1,27,"Kadava avel pala manθe, haj si maj baro manθar. Me na sem dosta laćho ⌞te avav Lesqi sluga⌟ te putarav Lesqe o sirimi la sandalaqo!"
John,1,28,"Kadala kerde pen and‑e Bethania, intǎl o Jordano, kaj bolelas o Joan. O Isus, o Bakrorro le Devlesqo"
John,1,29,"And‑o dujto ges, o Joan dikhlǎs le Isusos avindoj lesθe haj phendǎs: — Dikh, o Bakrorro le Devlesqo, kaj lel o la lumǎqo!"
John,1,30,"Vov si Kodova pala savesθe phendem: „Pala manθe avel jekh manuś kaj si maj baro manθar, sosqe sas maj anglal manθar.”"
John,1,31,"Me na prinʒaravas Les, tha' anda kodoja avilem te bolav and‑o pani, kaj Vov te ovel sikavdo le Israelosqe."
John,1,32,"Haj o Joan phendǎs so dikhlǎsas: — Dikhlem le Duhos mukhindoj Pes tele andar o ćeri sar jekh golumbo, haj aćhilo pe Lesθe."
John,1,33,"Me na prinʒaravas Les, tha' Kodova kaj bićhaldǎs man te bolav and‑o pani, phendǎs manqe: „Kana dikhesa le Duhos ke mukhel Pes tele haj aćhol pe varekasθe, Kodova manuś si Kodo kaj bolel and‑o Somnal Duho!”"
John,1,34,"Haj me dikhlem haj phendem so dikhlem, ke Kadava si o Ćhavo le Devlesqo. Ol anglutne ućenićǎ"
John,1,35,"And‑o dujto ges, o Joan palem beśelas othe, dujença andar pesqe ućenićǎ"
John,1,36,"haj, dikhindoj k‑o Isus kaj phirelas, phendǎs: — Dikh, o Bakrorro le Devlesqo!"
John,1,37,Ol duj ućenićǎ lesqe śunde so phendǎs haj gele pala o Isus.
John,1,38,"O Isus boldinǎs Pes haj, dikhindoj ke kadala ʒan pala Lesθe, pućhlǎs len: — So roden? Von phende Lesqe: — Kaj beśes, ? — („ ”)."
John,1,39,"Vov phendǎs lenqe: — Aven haj dikhena! Von gele haj dikhle kaj beśelas, haj ande kodova ges aćhile Leça. Sas o ćaso śtar pala o mesmeri."
John,1,40,"Jekh andar kodola duj kaj śundesas so phendǎs o Joan haj gelesas pala o Isus, sas o Andrej, o phral le ."
John,1,41,"Vov arakhlǎs maj anglal pesqe phrales, le Simonos, haj phendǎs lesqe: — Ame arakhlǎm le — kaj amboldino si „o ”, ⌞vaj „o Makhlo”⌟."
John,1,42,"Haj o Andrej ingerdǎs le Petros k‑o Isus. Dikhindoj lesθe, o Isus phendǎs: — Tu san o Simon, o ćhavo le Jonasqo. Kiro anav ovela „ ” — kaj amboldino si „ ”, ⌞vaj „Barr”⌟. O Isus akharel le Filipos thaj le Natanaelos te aven Lesqe ućenićǎ"
John,1,43,"And‑o dujto ges, o Isus kamlǎs te ʒal and‑e Galilea. Vov arakhlǎs le Filipos haj phendǎs lesqe: — Av pala Manθe!"
John,1,44,"O Filip sas andar e Bethsaida, o foro kaθar sas o Andrej haj o Petru."
John,1,45,"O Filip arakhlǎs le Nathanaelos haj phendǎs lesqe: — Ame arakhlǎm le manuśes kaj xramosardǎs anda Lesθe o Mojse and‑o haj vi ol prooroćǎ. Si o Isus andar o Nazaret, o ćhavo le Josifosqo!"
